id,constituency_no,constituency_name,district_name,candidate_name,party_code,party_name,votes_received,total_votes,vote_percentage,margin,status,state_code,state_name
603,142,Thiruverumbur,Tiruchirappalli,Anbil Mahesh Poyyamozhi,DMK,Dravida Munetra Kazhagam,195595,195595,68.9,49697,Won,33,Tamil Nadu
604,170,Thiruvidaimarudur,Thanjavur,Chezhiaan  Govi.,DMK,Dravida Munetra Kazhagam,197206,197206,80.9,10680,Won,33,Tamil Nadu
605,24,Thiyagarayanagar,Chennai,Karunanithi J,DMK,Dravida Munetra Kazhagam,136497,136497,59,137,Won,33,Tamil Nadu
606,119,Thondamuthur,Coimbatore,S.P. Velumani,AIADMK,All India Anna Dravida Munnetra Kazhagam,228896,228896,74.3,41630,Won,33,Tamil Nadu
607,214,Thoothukkudi,Thoothukkudi,P.Geetha Jeevan,DMK,Dravida Munetra Kazhagam,186838,186838,66.9,50310,Won,33,Tamil Nadu
608,20,Thousand Lights,Chennai,Ezhilan N,DMK,Dravida Munetra Kazhagam,134555,134555,57.5,32462,Won,33,Tamil Nadu
609,146,Thuraiyur,Tiruchirappalli,S.Stalinkumar,DMK,Dravida Munetra Kazhagam,174282,174282,79.8,22071,Won,33,Tamil Nadu
610,72,Tindivanam,Viluppuram,Arjunan P,AIADMK,All India Anna Dravida Munnetra Kazhagam,181015,181015,81.9,9753,Won,33,Tamil Nadu
611,215,Tiruchendur,Thoothukkudi,Anitha R. Radhakrishnan,DMK,Dravida Munetra Kazhagam,173485,173485,73.9,25263,Won,33,Tamil Nadu
612,96,Tiruchengodu,Namakkal,Eswaran E R,DMK,Dravida Munetra Kazhagam,183151,183151,82.4,2862,Won,33,Tamil Nadu
613,141,Tiruchirappalli (East),Tiruchirappalli,Inigo Irudayarajs.,DMK,Dravida Munetra Kazhagam,171321,171321,69.3,53797,Won,33,Tamil Nadu
614,140,Tiruchirappalli (West),Tiruchirappalli,Nehru K.N.,DMK,Dravida Munetra Kazhagam,180982,180982,69.6,85109,Won,33,Tamil Nadu
615,208,Tiruchuli,Virudhunagar,Thangam Thenarasu,DMK,Dravida Munetra Kazhagam,172071,172071,80.8,60992,Won,33,Tamil Nadu
616,224,Tirunelveli,Tirunelveli,Nainar Nagenthran,BJP,Bharatiya Janta Party,195496,195496,70.2,23107,Won,33,Tamil Nadu
617,50,Tirupattur,Vellore,A. Nallathambi,DMK,Dravida Munetra Kazhagam,184298,184298,80.4,28240,Won,33,Tamil Nadu
618,185,Tiruppattur,Sivaganga,Kr.Periyakaruppan,DMK,Dravida Munetra Kazhagam,209913,209913,74.6,37374,Won,33,Tamil Nadu
619,113,Tiruppur (North),Coimbatore,Vijeyakumar.K.N,AIADMK,All India Anna Dravida Munnetra Kazhagam,235930,235930,66.6,40102,Won,33,Tamil Nadu
620,114,Tiruppur (South),Coimbatore,Selvaraj. K.,DMK,Dravida Munetra Kazhagam,173276,173276,66.2,4709,Won,33,Tamil Nadu
621,3,Tiruttani,Thiruvallur,S.Chandran,DMK,Dravida Munetra Kazhagam,230959,230959,83.4,29253,Won,33,Tamil Nadu
622,210,Tiruvadanai,Ramanathapuram,Karumanickam,INC,Indian National Congress,201047,201047,71.9,13852,Won,33,Tamil Nadu
623,63,Tiruvannamalai,Tiruvannamalai,E V Velu,DMK,Dravida Munetra Kazhagam,206642,206642,75.3,94673,Won,33,Tamil Nadu
624,10,Thiruvottiyur,Thiruvallur,K.P.Shankar,DMK,Dravida Munetra Kazhagam,198885,198885,69.1,37661,Won,33,Tamil Nadu
625,151,Tittakudi,Cuddalore,Ganesan  C.V.,DMK,Dravida Munetra Kazhagam,167185,167185,78.1,21563,Won,33,Tamil Nadu
626,108,Udhagamandalam,The Nilgiris,Ganesh R.,INC,Indian National Congress,139726,139726,69.4,5348,Won,33,Tamil Nadu
627,125,Udumalaipettai,Coimbatore,Radhakrishnank.,AIADMK,All India Anna Dravida Munnetra Kazhagam,192880,192880,74.8,21895,Won,33,Tamil Nadu
628,77,Ulundurpettai,Viluppuram,Manikannan A J,DMK,Dravida Munetra Kazhagam,242573,242573,85.8,5256,Won,33,Tamil Nadu
629,197,Usilampatti,Madurai,Ayyappan P,AIADMK,All India Anna Dravida Munnetra Kazhagam,211481,211481,76.9,7477,Won,33,Tamil Nadu
630,51,Uthangarai,Krishnagiri,T.M.Tamilselvam,AIADMK,All India Anna Dravida Munnetra Kazhagam,186864,186864,82.1,28387,Won,33,Tamil Nadu
631,36,Uthiramerur,Kancheepuram,Sundar K,DMK,Dravida Munetra Kazhagam,209577,209577,84.8,1622,Won,33,Tamil Nadu
632,124,Valparai,Coimbatore,Amulkandasami T K,AIADMK,All India Anna Dravida Munnetra Kazhagam,143757,143757,72.5,12223,Won,33,Tamil Nadu
633,69,Vandavasi,Tiruvannamalai,Ambethkumar S,DMK,Dravida Munetra Kazhagam,184205,184205,80,35953,Won,33,Tamil Nadu
634,47,Vaniyambadi,Vellore,G.Sendhil Kumar,AIADMK,All India Anna Dravida Munnetra Kazhagam,188505,188505,79.3,4904,Won,33,Tamil Nadu
635,73,Vanur,Viluppuram,Chakrapani M,AIADMK,All India Anna Dravida Munnetra Kazhagam,180845,180845,82.1,21727,Won,33,Tamil Nadu
636,220,Vasudevanallur,Tirunelveli,Sadhan Thirumalaikumar Doctor.T,DMK,Dravida Munetra Kazhagam,173710,173710,75.7,2367,Won,33,Tamil Nadu
637,165,Vedaranyam,Nagapattinam,O.S.Manian,AIADMK,All India Anna Dravida Munnetra Kazhagam,157387,157387,85.4,12329,Won,33,Tamil Nadu
638,133,Vedasandur,Dindigul,Gandhirajan S,DMK,Dravida Munetra Kazhagam,212277,212277,83.7,17553,Won,33,Tamil Nadu
639,91,Veerapandi,Salem,Rajamuthu M.,AIADMK,All India Anna Dravida Munnetra Kazhagam,222293,222293,89.3,19895,Won,33,Tamil Nadu
640,26,Velachery,Chennai,Jmh.Aassan Maulaana,INC,Indian National Congress,174972,174972,58.2,4352,Won,33,Tamil Nadu
641,43,Vellore,Vellore,Karthikeyan .P,DMK,Dravida Munetra Kazhagam,178458,178458,72.7,9181,Won,33,Tamil Nadu
642,54,Veppanahalli,Krishnagiri,K.P.Munusamy,AIADMK,All India Anna Dravida Munnetra Kazhagam,203479,203479,85.2,3054,Won,33,Tamil Nadu
643,75,Vikravandi,Viluppuram,Pugazhenthi N,DMK,Dravida Munetra Kazhagam,192495,192495,86.2,9573,Won,33,Tamil Nadu
644,213,Vilathikulam,Thoothukkudi,Markandayan V,DMK,Dravida Munetra Kazhagam,166133,166133,79.4,38549,Won,33,Tamil Nadu
645,233,Vilavancode,Kanniyakumari,Vijayadharani S,INC,Indian National Congress,167054,167054,68.8,28669,Won,33,Tamil Nadu
646,14,Villivakkam,Chennai,A . Vetriazhagan,DMK,Dravida Munetra Kazhagam,142648,142648,57.5,37237,Won,33,Tamil Nadu
647,74,Villupuram,Viluppuram,Lakshmanan R,DMK,Dravida Munetra Kazhagam,203890,203890,81.6,14868,Won,33,Tamil Nadu
648,179,Viralimalai,Pudukkottai,Vijaya Basker C,AIADMK,All India Anna Dravida Munnetra Kazhagam,193038,193038,90.4,23598,Won,33,Tamil Nadu
649,206,Virudhunagar,Virudhunagar,Seenivasan A.R.R,DMK,Dravida Munetra Kazhagam,160147,160147,75.4,21339,Won,33,Tamil Nadu
650,22,Virugampakkam,Chennai,Amv.Prabhakara Raja,DMK,Dravida Munetra Kazhagam,167524,167524,61.2,18367,Won,33,Tamil Nadu
651,152,Vriddhachalam,Cuddalore,Radhakrishnan,INC,Indian National Congress,195973,195973,80.8,862,Won,33,Tamil Nadu
652,83,Yercaud,Salem,G. Chitra,AIADMK,All India Anna Dravida Munnetra Kazhagam,236945,236945,86.7,25955,Won,33,Tamil Nadu
